Entry_Date,Exit_Date,Ticker,Direction,Entry_Price,Exit_Price,Shares,P&L,Win
2025-04-10,2025-04-15,ESS,LONG,255.43496704101562,265.6776428222656,65,665.1081518554688,True
2025-04-10,2025-04-15,WBD,LONG,8.100000381469727,8.25,2469,369.97870909309387,True
2025-04-10,2025-04-15,SBUX,LONG,82.85931396484375,81.98762512207031,301,-262.11596333312986,False
2025-04-10,2025-04-15,ADI,LONG,176.22975158691406,177.39566040039062,141,164.22874955749512,True
2025-04-11,2025-04-16,DVN,LONG,27.66107177734375,28.70950698852539,122,127.78118666839599,True
2025-04-11,2025-04-16,PRU,LONG,95.10194396972656,94.89987182617188,35,-7.065452499389648,False
2025-04-11,2025-04-16,BAC,LONG,35.35795211791992,36.71522521972656,95,128.81200372695923,True
2025-04-11,2025-04-16,APA,LONG,14.436898231506348,14.753665924072266,234,74.04951642036438,True
2025-04-15,2025-04-21,PFE,LONG,21.27184295654297,20.89266586303711,1027,-389.02546015548705,False
2025-04-15,2025-04-21,SBUX,LONG,81.98762512207031,79.01997375488281,266,-788.6058684082032,False
2025-04-15,2025-04-21,NXPI,LONG,169.29359436035156,169.16534423828125,129,-16.52772148132324,False
2025-04-15,2025-04-21,BRO,LONG,118.93103790283203,112.85165405273438,183,-1111.4147173233032,False
2025-04-16,2025-04-21,DVN,LONG,28.70950698852539,28.885881423950195,120,21.143767318725587,True
2025-04-16,2025-04-21,BAC,LONG,36.71522521972656,36.311973571777344,94,-37.867749252319335,False
2025-04-16,2025-04-21,TDY,LONG,460.8900146484375,453.3500061035156,7,-52.72727975463867,False
2025-04-16,2025-04-21,APA,LONG,14.753665924072266,14.878453254699707,234,29.171035131454467,True
2025-04-21,2025-04-28,BAC,LONG,36.311973571777344,39.124874114990234,453,1272.9697021293641,True
2025-04-21,2025-04-28,MA,LONG,507.1993408203125,532.2644653320312,38,951.5222567138671,True
2025-04-21,2025-04-28,DVN,LONG,28.885881423950195,30.91416358947754,854,1730.4208163909911,True
2025-04-21,2025-04-28,WFC,LONG,62.95793533325195,68.28884887695312,391,2082.302808391571,True
2025-04-22,2025-04-28,SBUX,LONG,80.06795501708984,82.17372131347656,42,88.35374226379395,True
