Date,Actual_Price,Signal,Shares_Held,Cash,Portfolio_Value,Daily_Return,Cumulative_Return
2025-01-02,407.91094970703125,-1,0.0,100000.0,100000.0,0.0,0.0
2025-01-03,409.3503112792969,1,48.0,80351.18505859375,100000.0,0.0,0.0
2025-01-06,410.26361083984375,-1,24.0,90197.51171875,100043.83837890625,43.83837890625,0.04383837890625
2025-01-07,412.7750244140625,-1,12.0,95150.81201171875,100104.1123046875,60.27392578125,0.10411230468749999
2025-01-08,406.7494812011719,-1,6.0,97591.30889892578,100031.80578613281,-72.3065185546875,0.0318057861328125
2025-01-10,409.201416015625,-1,3.0,98818.91314697266,100046.51739501953,14.71160888671875,0.04651739501953125
2025-01-13,408.4271240234375,-1,2.0,99227.3402709961,100044.19451904297,-2.3228759765625,0.04419451904296875
2025-01-14,406.0447082519531,1,50.0,79737.19427490234,100039.4296875,-4.76483154296875,0.0394296875
2025-01-15,407.53369140625,1,89.0,63843.380310058594,100113.87884521484,74.44915771484375,0.11387884521484376
2025-01-16,405.43914794921875,1,120.0,51274.76672363281,99927.46447753906,-186.41436767578125,-0.0725355224609375
2025-01-17,406.64031982421875,1,145.0,41108.758728027344,100071.60510253906,144.140625,0.0716051025390625
2025-01-21,411.73272705078125,1,164.0,33285.8369140625,100810.00415039062,738.3990478515625,0.810004150390625
2025-01-22,413.91107177734375,1,180.0,26663.259765625,101167.25268554688,357.24853515625,1.167252685546875
2025-01-23,406.03326416015625,-1,90.0,63206.25354003906,99749.24731445312,-1418.00537109375,-0.250752685546875
2025-01-24,401.8457336425781,-1,45.0,81289.31155395508,99372.3695678711,-376.87774658203125,-0.6276304321289062
2025-01-27,395.77825927734375,-1,23.0,89996.43325805664,99099.33322143555,-273.0363464355469,-0.9006667785644531
2025-01-28,397.5985412597656,-1,12.0,94370.01721191406,99141.19970703125,41.866485595703125,-0.8588002929687499
2025-01-29,390.4368896484375,-1,6.0,96712.63854980469,99055.25988769531,-85.9398193359375,-0.9447401123046875
2025-01-30,394.87310791015625,1,54.0,77758.72937011719,99081.87719726562,26.6173095703125,-0.918122802734375
2025-01-31,386.4184265136719,-1,27.0,88192.02688598633,98625.32440185547,-456.55279541015625,-1.3746755981445313
2025-02-03,386.53778076171875,-1,14.0,93217.01803588867,98628.54696655273,3.222564697265625,-1.3714530334472657
2025-02-04,398.8816223144531,-1,7.0,96009.18939208984,98801.36074829102,172.81378173828125,-1.1986392517089843
2025-02-05,394.773681640625,-1,4.0,97193.51043701172,98772.60516357422,-28.755584716796875,-1.2273948364257814
2025-02-06,391.2127380371094,-1,2.0,97975.93591308594,98758.36138916016,-14.2437744140625,-1.2416386108398438
2025-02-07,378.1328430175781,-1,1.0,98354.06875610352,98732.2015991211,-26.1597900390625,-1.2677984008789063
2025-02-10,378.4213562011719,-1,1.0,98354.06875610352,98732.49011230469,0.28851318359375,-1.2675098876953126
2025-02-11,381.2262878417969,-1,1.0,98354.06875610352,98735.29504394531,2.804931640625,-1.2647049560546875
2025-02-12,376.750244140625,-1,1.0,98354.06875610352,98730.81900024414,-4.476043701171875,-1.2691809997558594
2025-02-13,386.4880676269531,1,51.0,79029.66537475586,98740.55682373047,9.737823486328125,-1.2594431762695313
2025-02-14,386.6273193359375,1,91.0,63564.57260131836,98747.65866088867,7.101837158203125,-1.252341339111328
2025-02-18,381.4749450683594,1,124.0,50975.8994140625,98278.79260253906,-468.8660583496094,-1.7212073974609374
2025-02-19,385.75201416015625,-1,62.0,74892.52429199219,98809.14916992188,530.3565673828125,-1.190850830078125
2025-02-20,384.7772521972656,-1,31.0,86820.61911010742,98748.71392822266,-60.43524169921875,-1.2512860717773437
2025-02-21,389.1736755371094,-1,16.0,92658.22424316406,98885.00305175781,136.28912353515625,-1.1149969482421873
2025-02-24,390.98394775390625,1,63.0,74281.97869873047,98913.96740722656,28.96435546875,-1.0860325927734373
2025-02-25,393.0528869628906,1,100.0,59739.021881103516,99044.31057739258,130.34317016601562,-0.9556894226074218
2025-02-26,387.89056396484375,1,130.0,48102.3049621582,98528.07827758789,-516.2322998046875,-1.4719217224121093
2025-02-27,388.4972839355469,1,154.0,38778.37014770508,98606.9518737793,78.87359619140625,-1.3930481262207033
2025-02-28,376.78009033203125,1,174.0,31242.768341064453,96802.50405883789,-1804.4478149414062,-3.1974959411621096
2025-03-03,373.3883056640625,1,190.0,25268.555450439453,96212.33352661133,-590.1705322265625,-3.787666473388672
2025-03-04,380.1520080566406,1,203.0,20326.579345703125,97497.43698120117,1285.1034545898438,-2.502563018798828
2025-03-05,380.1023254394531,1,213.0,16525.556091308594,97487.35140991211,-10.0855712890625,-2.5126485900878905
2025-03-06,371.12042236328125,-1,107.0,55864.320861816406,95574.2060546875,-1913.1453552246094,-4.4257939453125
2025-03-07,357.92120361328125,-1,54.0,74834.14465332031,94161.8896484375,-1412.31640625,-5.8381103515624995
2025-03-10,355.9517822265625,-1,27.0,84444.8427734375,94055.54089355469,-106.3487548828125,-5.944459106445313
2025-03-11,352.66937255859375,1,74.0,67869.3822631836,93966.91583251953,-88.62506103515625,-6.033084167480469
2025-03-12,388.40777587890625,1,108.0,54663.51788330078,96611.55767822266,2644.641845703125,-3.3884423217773434
2025-03-13,379.3165283203125,1,136.0,44042.65509033203,95629.70294189453,-981.854736328125,-4.370297058105469
2025-03-14,386.378662109375,-1,68.0,70316.40411376953,96590.15313720703,960.4501953125,-3.4098468627929686
2025-03-17,385.7420654296875,-1,34.0,83431.6343383789,96546.86456298828,-43.28857421875,-3.453135437011719
2025-03-18,383.6731872558594,1,77.0,66933.68728637695,96476.52270507812,-70.34185791015625,-3.523477294921875
2025-03-19,369.6284484863281,-1,39.0,80979.56832885742,95395.07781982422,-1081.4448852539062,-4.604922180175781
2025-03-20,365.8188781738281,-1,20.0,87930.12701416016,95246.50457763672,-148.5732421875,-4.753495422363281
2025-03-21,357.2050476074219,-1,10.0,91502.17749023438,95074.2279663086,-172.276611328125,-4.925772033691406
2025-03-24,364.864013671875,-1,5.0,93326.49755859375,95150.81762695312,76.58966064453125,-4.849182373046875
2025-03-25,372.3936462402344,-1,3.0,94071.28485107422,95188.46578979492,37.648162841796875,-4.811534210205078
2025-03-26,385.2347717285156,-1,2.0,94456.51962280273,95226.98916625977,38.52337646484375,-4.773010833740234
2025-03-27,389.7605285644531,1,50.0,75748.01425170898,95236.04067993164,9.051513671875,-4.763959320068359
2025-03-28,389.07421875,-1,25.0,85474.86972045898,95201.72518920898,-34.31549072265625,-4.798274810791016
2025-03-31,391.9388732910156,1,68.0,68621.49816894531,95273.34155273438,71.61636352539062,-4.726658447265625
2025-04-01,393.15234375,1,102.0,55254.31848144531,95355.85754394531,82.5159912109375,-4.644142456054688
2025-04-02,423.1316223144531,1,128.0,44252.89630126953,98413.74395751953,3057.8864135742188,-1.586256042480469
2025-04-03,432.9589538574219,1,148.0,35593.717224121094,99671.64239501953,1257.8984375,-0.32835760498046873
2025-04-04,433.8442077636719,1,164.0,28652.209899902344,99802.65997314453,131.017578125,-0.19734002685546873
2025-04-07,430.99945068359375,1,177.0,23049.217041015625,99336.11981201172,-466.5401611328125,-0.6638801879882812
2025-04-08,431.03924560546875,1,187.0,18738.824584960938,99343.1635131836,7.043701171875,-0.6568364868164063
2025-04-09,435.83355712890625,1,195.0,15252.156127929688,100239.6997680664,896.5362548828125,0.23969976806640625
2025-04-10,436.3905334472656,-1,98.0,57582.03787231445,100348.31015014648,108.61038208007812,0.34831015014648437
2025-04-11,446.8644104003906,-1,49.0,79478.3939819336,101374.75009155273,1026.43994140625,1.3747500915527344
2025-04-14,446.74505615234375,-1,25.0,90200.27532958984,101368.90173339844,-5.848358154296875,1.3689017333984375
2025-04-15,450.5247802734375,-1,13.0,95606.5726928711,101463.39483642578,94.49310302734375,1.4633948364257812
2025-04-16,451.54119873046875,-1,7.0,98315.8198852539,101476.60827636719,13.21343994140625,1.4766082763671875
2025-04-17,452.6772155761719,-1,4.0,99673.85153198242,101484.56039428711,7.952117919921875,1.4845603942871095
2025-04-21,457.26104736328125,-1,2.0,100588.37362670898,101502.89572143555,18.3353271484375,1.5028957214355467
2025-04-22,456.56353759765625,1,46.0,80499.57797241211,101501.5007019043,-1.39501953125,1.501500701904297
2025-04-23,450.983154296875,1,81.0,64715.167572021484,101244.80307006836,-256.6976318359375,1.2448030700683592
2025-04-24,453.26513671875,-1,41.0,82845.77304077148,101429.64364624023,184.840576171875,1.4296436462402342
2025-04-25,448.6015625,-1,21.0,91817.80429077148,101238.43710327148,-191.20654296875,1.2384371032714843
2025-04-28,459.0746765136719,-1,11.0,96408.5510559082,101458.3724975586,219.93539428710938,1.4583724975585937
2025-04-29,455.7563781738281,-1,6.0,98687.33294677734,101421.87121582031,-36.50128173828125,1.4218712158203126
2025-04-30,457.0717468261719,-1,3.0,100058.54818725586,101429.76342773438,7.8922119140625,1.4297634277343751
2025-05-01,458.7458190917969,1,46.0,80332.4779663086,101434.78564453125,5.022216796875,1.43478564453125
2025-05-02,460.3502197265625,1,80.0,64680.57049560547,101508.58807373047,73.80242919921875,1.5085880737304687
2025-05-05,461.3467102050781,1,108.0,51762.86260986328,101588.30731201172,79.71923828125,1.5883073120117188
2025-05-06,462.2435302734375,1,130.0,41593.504943847656,101685.16387939453,96.8565673828125,1.6851638793945312
2025-05-07,466.0401611328125,1,147.0,33670.822204589844,102178.72589111328,493.56201171875,2.178725891113281
2025-05-08,468.730712890625,1,161.0,27108.592224121094,102574.23699951172,395.5111083984375,2.5742369995117187
2025-05-09,471.0924072265625,1,172.0,21926.575744628906,102954.46978759766,380.2327880859375,2.9544697875976564
2025-05-12,469.2688293457031,1,181.0,17703.156280517578,102640.81439208984,-313.6553955078125,2.6408143920898435
2025-05-13,470.9628601074219,-1,91.0,60089.81369018555,102947.43395996094,306.61956787109375,2.9474339599609376
2025-05-14,477.1909484863281,-1,46.0,81563.40637207031,103514.1900024414,566.7560424804688,3.5141900024414063
2025-05-15,473.2946472167969,-1,23.0,92449.18325805664,103334.96014404297,-179.2298583984375,3.3349601440429684
2025-05-16,477.46002197265625,-1,12.0,97701.24349975586,103430.76376342773,95.80361938476562,3.430763763427734
2025-05-19,476.3638610839844,-1,6.0,100559.42666625977,103417.60983276367,-13.1539306640625,3.417609832763672
2025-05-20,478.5561218261719,-1,3.0,101995.09503173828,103430.7633972168,13.153564453125,3.430763397216797
2025-05-21,475.7261047363281,-1,2.0,102470.82113647461,103422.27334594727,-8.49005126953125,3.422273345947266
2025-05-22,484.2959289550781,-1,1.0,102955.11706542969,103439.41299438477,17.1396484375,3.4394129943847656
2025-05-23,488.3915100097656,-1,1.0,102955.11706542969,103443.50857543945,4.0955810546875,3.443508575439453
2025-05-27,490.5439453125,-1,1.0,102955.11706542969,103445.66101074219,2.152435302734375,3.4456610107421874
2025-05-28,495.705810546875,-1,1.0,102955.11706542969,103450.82287597656,5.161865234375,3.450822875976563
2025-05-29,494.20111083984375,-1,1.0,102955.11706542969,103449.31817626953,-1.50469970703125,3.4493181762695313
2025-05-30,495.66595458984375,1,42.0,82632.8129272461,103450.78302001953,1.46484375,3.4507830200195313
2025-06-02,490.3247375488281,1,75.0,66452.09658813477,103226.45190429688,-224.33111572265625,3.226451904296875
2025-06-03,489.36810302734375,1,102.0,53239.157806396484,103154.70431518555,-71.74758911132812,3.1547043151855467
2025-06-04,497.0909423828125,1,123.0,42800.24801635742,103942.43392944336,787.7296142578125,3.942433929443359
2025-06-05,495.974853515625,-1,62.0,73054.71408081055,103805.1549987793,-137.2789306640625,3.805154998779297
2025-06-06,494.8786926269531,-1,31.0,88395.9535522461,103737.19302368164,-67.96197509765625,3.7371930236816406
2025-06-09,501.74456787109375,1,66.0,70834.89367675781,103950.03515625,212.84213256835938,3.9500351562500002
2025-06-10,499.7216796875,1,94.0,56842.68664550781,103816.52453613281,-133.5106201171875,3.8165245361328126
2025-06-11,501.55523681640625,1,116.0,45808.471435546875,103988.87890625,172.3543701171875,3.98887890625
2025-06-12,501.2562561035156,1,134.0,36785.858825683594,103954.19714355469,-34.6817626953125,3.954197143554687
2025-06-13,504.04644775390625,-1,67.0,70556.97082519531,104328.08282470703,373.88568115234375,4.328082824707032
2025-06-16,503.8471374511719,1,95.0,56449.2509765625,104314.72903442383,-13.353790283203125,4.314729034423828
2025-06-17,509.9058532714844,-1,48.0,80414.82608032227,104890.30703735352,575.5780029296875,4.890307037353516
2025-06-18,508.2616271972656,-1,24.0,92613.10513305664,104811.38418579102,-78.9228515625,4.811384185791016
2025-06-20,508.2715759277344,-1,12.0,98712.36404418945,104811.62295532227,0.23876953125,4.811622955322266
2025-06-23,503.4983825683594,-1,6.0,101733.35433959961,104754.34463500977,-57.2783203125,4.754344635009765
2025-06-24,504.0962829589844,-1,3.0,103245.64318847656,104757.93203735352,3.58740234375,4.757932037353515
2025-06-25,509.0887145996094,-1,2.0,103754.73190307617,104772.90933227539,14.977294921875,4.772909332275391
2025-06-26,511.9088439941406,-1,1.0,104266.64074707031,104778.54959106445,5.6402587890625,4.778549591064453
2025-06-27,510.7030334472656,-1,1.0,104266.64074707031,104777.34378051758,-1.205810546875,4.777343780517578
2025-06-30,510.7727966308594,-1,1.0,104266.64074707031,104777.41354370117,0.06976318359375,4.777413543701172
2025-07-01,511.4404296875,-1,1.0,104266.64074707031,104778.08117675781,0.667633056640625,4.778081176757812
2025-07-02,531.62939453125,1,40.0,83533.09436035156,104798.27014160156,20.18896484375,4.798270141601563
2025-07-03,522.2723388671875,1,71.0,67342.65185546875,104423.98791503906,-374.2822265625,4.423987915039063
2025-07-07,533.7619018554688,0,71.0,67342.65185546875,105239.74688720703,815.7589721679688,5.239746887207032
2025-07-08,525.8995361328125,-1,36.0,85749.13562011719,104681.51892089844,-558.2279663085938,4.681518920898437
2025-07-09,523.0994262695312,1,68.0,69009.95397949219,104580.71496582031,-100.803955078125,4.580714965820312
2025-07-10,519.0138549804688,-1,34.0,86656.42504882812,104302.89611816406,-277.81884765625,4.302896118164062
2025-07-11,520.2095947265625,0,34.0,86656.42504882812,104343.55126953125,40.6551513671875,4.3435512695312495
2025-07-14,519.9405517578125,-1,17.0,95495.41442871094,104334.40380859375,-9.1474609375,4.33440380859375
2025-07-15,527.3843383789062,1,53.0,76509.57824707031,104460.94818115234,126.54437255859375,4.460948181152344
2025-07-16,518.7547607421875,1,82.0,61465.690185546875,104003.58056640625,-457.36761474609375,4.00358056640625
2025-07-17,520.6480102539062,1,105.0,49490.78594970703,104158.82702636719,155.2464599609375,4.158827026367187
2025-07-18,518.3461303710938,-1,53.0,76444.7847290039,103917.12963867188,-241.6973876953125,3.917129638671875
2025-07-21,515.286865234375,1,82.0,61501.46563720703,103754.98858642578,-162.14105224609375,3.754988586425781
2025-07-22,507.98260498046875,1,106.0,49309.88311767578,103156.03924560547,-598.9493408203125,3.1560392456054687
2025-07-23,503.9468078613281,-1,53.0,76019.06393432617,102728.24475097656,-427.79449462890625,2.7282447509765624
2025-07-24,503.2980041503906,-1,27.0,89104.81204223633,102693.85815429688,-34.3865966796875,2.693858154296875
2025-07-25,506.2824401855469,-1,14.0,95686.48376464844,102774.4379272461,80.57977294921875,2.774437927246094
2025-07-28,503.3179931640625,-1,7.0,99209.70971679688,102732.93566894531,-41.50225830078125,2.7329356689453124
2025-07-29,501.1021423339844,-1,4.0,100713.01614379883,102717.42471313477,-15.510955810546875,2.7174247131347657
2025-07-30,505.7933349609375,-1,2.0,101724.6028137207,102736.18948364258,18.7647705078125,2.736189483642578
2025-07-31,508.68792724609375,-1,1.0,102233.2907409668,102741.97866821289,5.7891845703125,2.741978668212891
