Date,Predicted_Price,Actual_Price,Predicted_Change,Actual_Change,Predicted_Change_Pct,Signal,Signal_Strength,Mean_Reversion_Signal,Signal_Source
2025-01-02,366.5747787475586,407.91094970703125,-48.94005279541016,-7.6038818359375,-11.78,-1,11.78,0.0,Model
2025-01-03,403.5212997436523,409.3503112792969,-16.728608703613283,-10.89959716796875,-3.98,1,3.98,0.0,Model
2025-01-06,386.47771350567155,410.26361083984375,-38.23923595721905,-14.453338623046875,-9.0,-1,9.0,0.0,Model
2025-01-07,376.83110095684344,412.7750244140625,-42.445968134953425,-6.502044677734375,-10.12,-1,10.12,0.0,Model
2025-01-08,369.92020618145284,406.7494812011719,-51.53081310565656,-14.7015380859375,-12.23,-1,12.23,0.0,Model
2025-01-10,345.40653430645284,409.201416015625,-70.47560680682842,-6.68072509765625,-16.95,-1,16.95,0.0,Model
2025-01-13,343.74933826153097,408.4271240234375,-70.38567150409405,-5.7078857421875,-17.0,-1,17.0,0.0,Model
2025-01-14,379.70910999004656,406.0447082519531,-32.91704967792218,-6.581451416015625,-7.98,1,7.98,0.0,Model
2025-01-15,430.17600604717546,407.53369140625,6.987804142878606,-15.654510498046875,1.65,1,1.65,0.0,Model
2025-01-16,404.00004677796977,405.43914794921875,-17.470808934920875,-16.031707763671875,-4.15,1,4.15,0.0,Model
2025-01-17,410.52566425030045,406.64031982421875,-15.36264141376202,-19.24798583984375,-3.61,1,3.61,0.0,Model
2025-01-21,412.94593132866754,411.73272705078125,-12.416281806098091,-13.629486083984375,-2.92,1,2.92,0.0,Model
2025-01-22,412.72118803366635,413.91107177734375,-30.211398636255513,-29.021514892578125,-6.82,1,6.82,0.0,Model
2025-01-23,361.0985870361328,406.03326416015625,-82.34022521972656,-37.405548095703125,-18.57,-1,18.57,0.0,Model
2025-01-24,380.6716184796027,401.8457336425781,-60.13660905945976,-38.962493896484375,-13.64,-1,13.64,0.0,Model
2025-01-27,381.2988218487434,395.77825927734375,-50.07901628602226,-35.599578857421875,-11.61,-1,11.61,0.0,Model
2025-01-28,384.1456347995334,397.5985412597656,-59.77962765163845,-46.32672119140625,-13.47,-1,13.47,0.0,Model
2025-01-29,394.968017578125,390.4368896484375,-44.122894287109375,-48.654022216796875,-10.05,-1,10.05,0.0,Model
2025-01-30,379.509968659372,394.87310791015625,-32.44114218047171,-17.0780029296875,-7.87,1,7.87,0.0,Model
2025-01-31,371.5616078538161,386.4184265136719,-40.458991511418276,-25.6021728515625,-9.82,-1,9.82,-0.04457867342720008,Model
2025-02-03,381.0296299104609,386.53778076171875,-26.88131979657035,-21.3731689453125,-6.59,-1,6.59,-0.04175162537613178,Model
2025-02-04,381.9763483552851,398.8816223144531,-27.373962924011757,-10.46868896484375,-6.69,-1,6.69,-0.00986574392987398,Model
2025-02-05,359.2930918245234,394.773681640625,-50.97051901532034,-15.48992919921875,-12.42,-1,12.42,-0.018175214419704724,Model
2025-02-06,367.16898446368356,391.2127380371094,-45.606039950378936,-21.562286376953125,-11.05,-1,11.05,-0.02441561962064583,Model
2025-02-07,350.62095786107477,378.1328430175781,-56.128523340097125,-28.61663818359375,-13.8,-1,13.8,-0.053656854274339076,Model
2025-02-10,434.77493539141796,378.4213562011719,25.57351937579293,-30.780059814453125,6.25,-1,6.25,-0.049272958321028563,Model
2025-02-11,437.25525155352733,381.2262878417969,28.828127530089812,-27.200836181640625,7.06,-1,7.06,-0.03894214713569376,Model
2025-02-12,432.59864602374216,376.750244140625,26.55393777178903,-29.294464111328125,6.54,-1,6.54,-0.04670604128206534,Model
2025-02-13,446.4769595336914,386.4880676269531,38.94326812744141,-21.045623779296875,9.56,1,9.56,-0.019455561051741795,Model
2025-02-14,451.70790303548176,386.6273193359375,46.26875508626302,-18.81182861328125,11.41,1,11.41,-0.016755916663970652,Model
2025-02-18,462.7597259521484,381.4749450683594,56.11940612792969,-25.165374755859375,13.8,1,13.8,-0.026744720360877525,Model
2025-02-19,435.1723642985026,385.75201416015625,23.43963724772135,-25.980712890625,5.69,-1,5.69,-0.012560056731354232,Model
2025-02-20,417.22852579752606,384.7772521972656,3.3174540201822906,-29.133819580078125,0.8,-1,0.8,-0.011368817034601065,Model
2025-02-21,402.9534378066663,389.1736755371094,-3.079826353489989,-16.859588623046875,-0.76,-1,0.76,0.002097636846365585,Model
2025-02-24,437.4000282520485,390.98394775390625,35.554294609470396,-10.861785888671875,8.85,1,8.85,0.008168817557914982,Model
2025-02-25,436.8640364227816,393.0528869628906,41.08577714543785,-2.725372314453125,10.38,1,10.38,0.013859910189389032,Model
2025-02-26,457.21583548880915,387.89056396484375,59.617294229043495,-9.707977294921875,14.99,1,14.99,0.001798274056509072,Model
2025-02-27,434.9278914580474,388.4972839355469,44.491001809609905,-1.939605712890625,11.4,1,11.4,0.0036166144308675324,Model
