entry_idx,exit_idx,entry_price,exit_price,position,pnl,return_pct,prediction,correct
39,99,545.4,545.4,-5,-0.1,-0.003667033370003667,-0.03713311298184129,False
112,172,545.27,545.0299,5,-1.30049999999992,-0.04770113888531994,0.0348133902719225,False
177,237,543.59,543.68,-9,-0.9899999999992634,-0.020235839511381398,-0.07001703678405298,False
240,300,543.89,545.015,5,5.525,0.203166081376749,0.0372809701616137,True
302,362,544.931,544.91,7,-0.28700000000050296,-0.007523888345510138,0.053330916122334,False
368,428,544.82,545.4,5,2.799999999999636,0.10278624132739753,0.04005713052366504,True
431,491,545.2484,544.37,5,-4.491999999999711,-0.164768938340753,0.037758722428341156,False
492,552,543.87,545.2,-7,-9.450000000000287,-0.2482210822439261,-0.05152497029156259,False
564,624,545.16,545.02,7,-1.1199999999999044,-0.029349181891552268,0.0469562654185969,False
624,684,545.02,543.21,7,-12.809999999999619,-0.3357674947708241,0.055870498326237014,False
685,745,543.09,543.14,7,0.20999999999968166,0.005523946307233519,0.0449094253430676,True
745,805,543.14,543.3,5,0.6999999999998409,0.02577604300916305,0.0359667805037118,True
838,898,542.97,545.26,5,11.349999999999818,0.418070979980471,0.039522044923599634,True
898,958,545.26,545.63,-9,-3.510000000000041,-0.0715255107655072,-0.06211788692425195,False
962,1022,545.865,546.07,5,0.9250000000002047,0.03389116356609069,0.03583280282787946,True
1100,1160,546.775,547.8201,5,5.125500000000239,0.18748113940835767,0.0377242109884637,True
1165,1225,547.5489,547.76,7,1.3376999999999135,0.03490099240451175,0.05716991991075592,True
1265,1325,548.85,548.29,5,-2.9000000000002957,-0.10567550332514514,0.04048693968438112,False
1350,1410,548.25,548.3,5,0.14999999999977262,0.0054719562243419105,0.041519063052960714,True
1411,1471,548.3,549.22,5,4.500000000000364,0.1641437169432925,0.03642304708478558,True
1506,1566,549.14,548.5,5,-3.299999999999932,-0.12018793021815682,0.036329454056284835,False
1566,1626,548.5,548.74,5,1.1000000000000456,0.04010938924339273,0.04252484930129919,True
1629,1689,549.29,549.305,7,-0.035000000000095496,-0.0009102659797217578,0.04675871381325937,True
1743,1803,550.16,550.995,5,4.075000000000182,0.14813872328050687,0.03545046673661688,True
1829,1889,551.12,550.95,5,-0.9499999999997953,-0.03447525039917968,0.03677844051614997,False
1889,1949,550.95,551.045,5,0.37499999999956796,0.013612850530885488,0.03659110077529256,True
1950,2010,551.05,551.99,5,4.600000000000273,0.1669539969149904,0.03522558777464717,True
