entry_idx,exit_idx,entry_time,exit_time,entry_price,exit_price,position,pnl,return_pct,prediction,correct
1,61,2024-07-01 11:01:00+00:00,2024-07-01 12:13:00+00:00,545.18,545.34,-5,-0.9000000000004093,-0.029348105212972205,-0.03027731491807815,False
61,121,2024-07-01 12:13:00+00:00,2024-07-01 13:15:00+00:00,545.34,544.84,5,-2.6,-0.09168592071001577,0.03516940766554164,False
121,181,2024-07-01 13:15:00+00:00,2024-07-01 14:15:00+00:00,544.84,542.92,7,-13.58000000000051,-0.3523970339916439,0.04292458674385262,False
181,241,2024-07-01 14:15:00+00:00,2024-07-01 15:15:00+00:00,542.92,543.85,-11,-10.450000000000701,-0.1712959552051985,-0.09138250820540485,False
241,301,2024-07-01 15:15:00+00:00,2024-07-01 16:15:00+00:00,543.85,544.95,5,5.400000000000114,0.2022616530293321,0.03297713230447739,True
710,770,2024-07-02 09:47:00+00:00,2024-07-02 11:41:00+00:00,543.25,542.97,5,-1.4999999999998637,-0.051541647491941595,0.033783298531591066,False
771,831,2024-07-02 11:42:00+00:00,2024-07-02 12:44:00+00:00,542.91,543.02,5,0.4500000000000682,0.020261185095137985,0.03522558777464717,True
838,898,2024-07-02 12:51:00+00:00,2024-07-02 13:51:00+00:00,542.97,545.26,7,15.889999999999745,0.4217544247380083,0.039522044923599634,True
898,958,2024-07-02 13:51:00+00:00,2024-07-02 14:51:00+00:00,545.26,545.63,-10,-3.9000000000000457,-0.06785753585445559,-0.06211788692425195,False
959,1019,2024-07-02 14:52:00+00:00,2024-07-02 15:52:00+00:00,545.6,546.24,5,3.0999999999999317,0.11730205278592123,0.034079836222672015,True
1493,1553,2024-07-03 10:50:00+00:00,2024-07-03 12:13:00+00:00,549.36,548.7097,5,-3.3515000000000783,-0.11837410805300998,0.03263260866536389,False
1553,1613,2024-07-03 12:13:00+00:00,2024-07-03 13:15:00+00:00,548.7097,548.45,9,-2.517299999999573,-0.047329216159282865,0.054956604407657844,False
1613,1673,2024-07-03 13:15:00+00:00,2024-07-03 14:15:00+00:00,548.45,549.8099,7,9.379299999999475,0.24795332300117148,0.0373915577219048,True
1673,1733,2024-07-03 14:15:00+00:00,2024-07-03 15:15:00+00:00,549.8099,550.295,5,2.3254999999999426,0.08823049566768233,0.03399839838784176,True
1743,1803,2024-07-03 15:25:00+00:00,2024-07-03 16:25:00+00:00,550.16,550.995,5,4.075000000000182,0.15177402937327986,0.03545046673661688,True
2059,2119,2024-07-05 11:14:00+00:00,2024-07-05 12:23:00+00:00,551.58,551.59,9,-0.09000000000008186,0.0018129736393616344,0.055195147382068085,True
2119,2179,2024-07-05 12:23:00+00:00,2024-07-05 13:24:00+00:00,551.59,551.69,5,0.40000000000011365,0.018129407712254162,0.036989604407833984,True
2189,2249,2024-07-05 13:34:00+00:00,2024-07-05 14:34:00+00:00,551.98,552.2503,5,1.2515000000001009,0.04896916554948009,0.03240775494174602,True
2254,2314,2024-07-05 14:39:00+00:00,2024-07-05 15:39:00+00:00,552.24,553.11,5,4.250000000000023,0.1575401999130821,0.03226201640999894,True
2758,2818,2024-07-08 10:45:00+00:00,2024-07-08 12:17:00+00:00,554.49,554.99,5,2.4,0.09017295172140165,0.03232995481583028,True
2826,2886,2024-07-08 12:27:00+00:00,2024-07-08 13:28:00+00:00,555.0,555.38,9,3.239999999999959,0.06846846846846766,0.04505342388542436,True
2894,2954,2024-07-08 13:36:00+00:00,2024-07-08 14:36:00+00:00,555.7199,555.0099,5,-3.650000000000182,-0.12776220538440972,0.035531904571447136,False
2970,3030,2024-07-08 14:52:00+00:00,2024-07-08 15:52:00+00:00,555.06,554.99,9,-0.8099999999994271,-0.012611249234305543,0.054905026055732005,False
3499,3559,2024-07-09 11:12:00+00:00,2024-07-09 12:31:00+00:00,556.41,556.17,5,-1.3000000000000456,-0.0431336604302599,0.03396842714979663,False
3561,3621,2024-07-09 12:34:00+00:00,2024-07-09 13:38:00+00:00,556.1213,556.44,5,1.4935000000001764,0.05730764133652771,0.03680041607980156,True
3623,3683,2024-07-09 13:40:00+00:00,2024-07-09 14:40:00+00:00,556.32,556.44,7,0.7000000000000318,0.021570319240725576,0.04039492848883604,True
3685,3745,2024-07-09 14:42:00+00:00,2024-07-09 15:42:00+00:00,556.61,556.0,5,-3.1500000000000683,-0.10959199439464141,0.03093970002970533,False
4216,4276,2024-07-10 11:45:00+00:00,2024-07-10 12:49:00+00:00,557.11,557.19,-5,-0.5000000000002046,-0.014359821220233155,-0.030379413010143106,False
4286,4346,2024-07-10 12:59:00+00:00,2024-07-10 14:00:00+00:00,557.13,557.285,5,0.6749999999998636,0.027821154847158244,0.03578477181811162,True
4354,4414,2024-07-10 14:08:00+00:00,2024-07-10 15:08:00+00:00,557.65,557.19,-5,2.1999999999996134,0.08248901640812745,-0.031166552159015946,True
4420,4480,2024-07-10 15:14:00+00:00,2024-07-10 16:14:00+00:00,557.07,558.09,5,4.999999999999909,0.1831008670364553,0.030246508261441554,True
4921,4981,2024-07-11 09:45:00+00:00,2024-07-11 11:54:00+00:00,561.04,560.81,7,-1.7500000000001275,-0.04099529445316166,0.03938225264486597,False
4981,5041,2024-07-11 11:54:00+00:00,2024-07-11 12:56:00+00:00,560.81,561.44,8,4.880000000000873,0.11233751181328956,0.05096451549408115,True
5091,5151,2024-07-11 13:46:00+00:00,2024-07-11 14:46:00+00:00,561.83,559.415,5,-12.175000000000386,-0.4298453268782509,0.030370652800415173,False
5177,5237,2024-07-11 15:12:00+00:00,2024-07-11 16:12:00+00:00,558.61,557.23,7,-9.799999999999969,-0.247041764379441,0.03878968987782266,False
5692,5752,2024-07-12 10:48:00+00:00,2024-07-12 12:21:00+00:00,557.08,556.92,8,-1.4400000000006548,-0.02872118905724166,0.04390334041438872,False
5752,5812,2024-07-12 12:21:00+00:00,2024-07-12 13:21:00+00:00,556.92,557.17,10,2.3000000000000003,0.04488975077210371,0.05924544849540707,True
5812,5872,2024-07-12 13:21:00+00:00,2024-07-12 14:21:00+00:00,557.17,559.6,5,12.050000000000319,0.43613259866828147,0.0322946436263401,True
5872,5932,2024-07-12 14:21:00+00:00,2024-07-12 15:21:00+00:00,559.6,561.33,7,11.970000000000127,0.30914939242316264,0.03953032822082266,True
