config,final_value,total_return,volatility,sharpe,max_drawdown,win_rate
"{'bullish': 0.85, 'neutral': 0.55, 'bearish': 0.25}",97570.69383918434,-2.4293061608156568,0.6078456685227009,-0.21116484413469772,-10.398779052800633,26.61290322580645
"{'bullish': 0.85, 'neutral': 0.55, 'bearish': 0.35}",96728.35521633201,-3.2716447836679876,0.6371704559554437,-0.2841522709379364,-11.333011346933592,26.61290322580645
"{'bullish': 0.85, 'neutral': 0.55, 'bearish': 0.45}",96198.23695976008,-3.8017630402399227,0.6583400423428183,-0.32520462474405765,-11.97828416896603,26.61290322580645
"{'bullish': 0.85, 'neutral': 0.55, 'bearish': 0.55}",95894.55449887025,-4.105445501129754,0.6730448612773088,-0.34587826015724504,-12.414510430648944,26.61290322580645
"{'bullish': 0.85, 'neutral': 0.65, 'bearish': 0.25}",97320.83806326511,-2.6791619367348902,0.6154281144774246,-0.23408727999869444,-10.628449813826718,26.61290322580645
"{'bullish': 0.85, 'neutral': 0.65, 'bearish': 0.35}",96576.4388352691,-3.4235611647308977,0.6420727292443299,-0.2969004482354586,-11.472487816588286,26.61290322580645
"{'bullish': 0.85, 'neutral': 0.65, 'bearish': 0.45}",96110.26564146932,-3.889734358530681,0.6612977642462965,-0.3321476586129957,-12.058997602720343,26.61290322580645
"{'bullish': 0.85, 'neutral': 0.65, 'bearish': 0.55}",95846.5791583799,-4.1534208416201,0.6747117831405438,-0.34951132180916333,-12.458547186983594,26.61290322580645
"{'bullish': 0.85, 'neutral': 0.75, 'bearish': 0.25}",97070.9810395598,-2.929018960440197,0.6231567090210334,-0.2564181699618253,-10.858120574852759,26.61290322580645
"{'bullish': 0.85, 'neutral': 0.75, 'bearish': 0.35}",96424.52169506649,-3.575478304933509,0.6470258682177626,-0.3094403192991983,-11.611964286242934,26.61290322580645
"{'bullish': 0.85, 'neutral': 0.75, 'bearish': 0.45}",96022.29388307789,-3.9777061169221124,0.6642723451570103,-0.33902311874660807,-12.139711036474681,26.61290322580645
"{'bullish': 0.85, 'neutral': 0.75, 'bearish': 0.55}",95798.60357733916,-4.201396422660837,0.6763838880297214,-0.3531245358154392,-12.50258394331826,26.61290322580645
"{'bullish': 0.85, 'neutral': 0.85, 'bearish': 0.25}",96821.12276806838,-3.178877231931619,0.631026776823875,-0.27816590933888147,-11.087791335878826,26.61290322580645
"{'bullish': 0.85, 'neutral': 0.85, 'bearish': 0.35}",96272.6037957241,-3.727396204275894,0.6520288555182918,-0.32177422543765744,-11.751440755897596,26.61290322580645
"{'bullish': 0.85, 'neutral': 0.85, 'bearish': 0.45}",95934.32168458572,-4.065678315414275,0.6672635837137483,-0.3458314975236178,-12.220424470229064,26.61290322580645
"{'bullish': 0.85, 'neutral': 0.85, 'bearish': 0.55}",95750.62775574804,-4.2493722442519655,0.678061140771993,-0.356717985595578,-12.546620699652939,26.61290322580645
"{'bullish': 0.9, 'neutral': 0.55, 'bearish': 0.25}",97627.23143993635,-2.372768560063647,0.6094789784018804,-0.20423184466222674,-10.454928323449863,26.61290322580645
"{'bullish': 0.9, 'neutral': 0.55, 'bearish': 0.35}",96784.40472170532,-3.215595278294684,0.6387300535681854,-0.27738292763095557,-11.388575173976372,26.61290322580645
"{'bullish': 0.9, 'neutral': 0.55, 'bearish': 0.45}",96253.97928668497,-3.746020713315025,0.6598503772679888,-0.31857920197722245,-12.033443631001923,26.61290322580645
"{'bullish': 0.9, 'neutral': 0.55, 'bearish': 0.55}",95950.12085617712,-4.04987914382288,0.6745226980181482,-0.33936732817037124,-12.469396528257732,26.61290322580645
"{'bullish': 0.9, 'neutral': 0.65, 'bearish': 0.25}",97377.12485313142,-2.6228751468685805,0.6170413372477479,-0.22719759985869864,-10.68445515958761,26.61290322580645
"{'bullish': 0.9, 'neutral': 0.65, 'bearish': 0.35}",96632.2950920271,-3.3677049079729042,0.643620283274927,-0.2901681370973365,-11.527964239665346,26.61290322580645
"{'bullish': 0.9, 'neutral': 0.65, 'bearish': 0.45}",96165.85228081408,-3.834147719185916,0.6628011047492308,-0.3255500330006251,-12.114106485083465,26.61290322580645
"{'bullish': 0.9, 'neutral': 0.65, 'bearish': 0.55}",95902.01329117053,-4.09798670882947,0.676185668959247,-0.3430209117064137,-12.513405688631954,26.61290322580645
"{'bullish': 0.9, 'neutral': 0.75, 'bearish': 0.25}",97127.01756278465,-2.8729824372153523,0.6247499576611162,-0.24957529935193176,-10.9139819957253,27.016129032258064
"{'bullish': 0.9, 'neutral': 0.75, 'bearish': 0.35}",96480.18503432143,-3.519814965678568,0.6485614391299668,-0.30274594539002203,-11.667353305354276,26.61290322580645
"{'bullish': 0.9, 'neutral': 0.75, 'bearish': 0.45}",96077.72502680034,-3.922274973199659,0.6657687147356749,-0.3324534962819643,-12.194769339165019,26.61290322580645
"{'bullish': 0.9, 'neutral': 0.75, 'bearish': 0.55}",95853.90559053385,-4.146094409466153,0.6778538306008052,-0.3466546778411468,-12.557414849006147,26.61290322580645
"{'bullish': 0.9, 'neutral': 0.85, 'bearish': 0.25}",96876.9095688961,-3.123090431103905,0.6326001856538924,-0.271373030162715,-11.143508831863018,26.61290322580645
"{'bullish': 0.9, 'neutral': 0.85, 'bearish': 0.35}",96328.07454858832,-3.6719254514116764,0.6535525075738227,-0.31511863183256666,-11.806742371043248,26.61290322580645
"{'bullish': 0.9, 'neutral': 0.85, 'bearish': 0.45}",95989.59752464366,-4.010402475356343,0.6687530065288023,-0.339290073096557,-12.275432193246615,26.61290322580645
"{'bullish': 0.9, 'neutral': 0.85, 'bearish': 0.55}",95805.79775426714,-4.194202245732857,0.6795271478795208,-0.3502687082621535,-12.601424009380366,26.61290322580645
"{'bullish': 0.95, 'neutral': 0.55, 'bearish': 0.25}",97679.49903677872,-2.3205009632212747,0.6108550992989003,-0.19792243189892642,-10.504588942648486,26.61290322580645
"{'bullish': 0.95, 'neutral': 0.55, 'bearish': 0.35}",96836.22108658643,-3.1637789134135677,0.6400444538882835,-0.271230727677164,-11.43771800386685,26.61290322580645
"{'bullish': 0.95, 'neutral': 0.55, 'bearish': 0.45}",96305.51167277878,-3.6944883272212174,0.661123497538039,-0.31256114497994747,-12.082228824606242,27.016129032258064
"{'bullish': 0.95, 'neutral': 0.55, 'bearish': 0.55}",96001.49056276327,-3.998509437236731,0.6757685690726339,-0.33345421328955294,-12.517939947631323,26.61290322580645
"{'bullish': 0.95, 'neutral': 0.65, 'bearish': 0.25}",97429.19186243614,-2.5708081375638576,0.6184007333432623,-0.220927366098638,-10.733988485964934,26.61290322580645
"{'bullish': 0.95, 'neutral': 0.65, 'bearish': 0.35}",96683.96384498407,-3.3160361550159285,0.6449246801738803,-0.2840477944203585,-11.577029766057368,27.016129032258064
"{'bullish': 0.95, 'neutral': 0.65, 'bearish': 0.45}",96217.27162938344,-3.7827283706165615,0.6640684455290027,-0.3195547948820526,-12.162846944039593,26.61290322580645
